plan_id,user_id,plan_name,education_template_id,start_date,end_date,total_duration_months,total_academic_cost,total_personal_cost,total_estimated_cost,assumptions,is_active
PLAN_001,USR_001,BTech Full Financial Journey — Mumbai,TMPL_BTECH,2024-07-01,2028-07-01,48,430034.2,833958.67,1357814.21,inflation:6%|hostel_increase:10%|uncertainty_margin:7%|accommodation:hostel|city_tier:metro|placement_cost_growth:15%|city:Mumbai|risk_level:medium,True
PLAN_002,USR_001,Placement Preparation Budget — Sem 7–8,TMPL_BTECH,2027-07-01,2028-07-01,12,136530.52,198989.02,364093.99,inflation:6%|hostel_increase:10%|uncertainty_margin:9%|accommodation:hostel|city_tier:metro|placement_cost_growth:20%|focus:placement_heavy|mock_interview_sessions:5,True
PLAN_003,USR_002,MBA Financial Roadmap — Bangalore,TMPL_MBA,2024-06-01,2026-04-01,22,547600.14,323411.31,906505.09,inflation:5%|hostel_increase:8%|uncertainty_margin:5%|accommodation:pg|city_tier:metro|networking_events:4|city:Bangalore|lifestyle:disciplined|cfa_study_materials:included,True
PLAN_014,USR_002,Post-MBA Startup Runway Savings Plan,TMPL_MBA,2026-04-01,2026-12-01,8,15355.35,113593.13,134879.51,inflation:5%|hostel_increase:8%|uncertainty_margin:5%|accommodation:pg|city_tier:metro|plan_type:startup_savings|target_runway:600000|status:completed|actual_savings_achieved:580000,False
PLAN_004,USR_003,BTech Full Journey — Delhi High Lifestyle,TMPL_BTECH,2023-08-01,2027-08-01,48,518679.94,1203169.77,1880245.03,inflation:9%|hostel_increase:12%|uncertainty_margin:11%|accommodation:hostel|city_tier:metro|lifestyle:high_spend|city_cost_growth:9%|placement_cost_growth:18%|risk_level:high|delhi_metro_premium:yes,True
PLAN_016,USR_003,Final Year Project Budget — Hardware + Cloud,TMPL_BTECH,2026-07-01,2027-05-01,10,158395.71,229040.42,436449.14,inflation:9%|hostel_increase:12%|uncertainty_margin:11%|accommodation:hostel|city_tier:metro|fyp_domain:IoT_hardware|cloud_compute:aws|prototype_cost:18000|publication_fee:5000|risk_level:high,True
PLAN_005,USR_003,Study Abroad Preparation — MS After BTech,TMPL_BTECH,2027-01-01,2027-07-01,6,64865.0,139362.88,225047.38,inflation:7%|hostel_increase:10%|uncertainty_margin:12%|accommodation:hostel|city_tier:metro|gre_prep:included|ielts_prep:included|application_fees:30000|forex_risk:moderate|status:paused,False
PLAN_006,USR_004,BTech Financial Plan — Pune Tier-2 Disciplined,TMPL_BTECH,2024-07-01,2028-05-01,46,292612.63,403994.82,729461.79,inflation:4%|hostel_increase:7%|uncertainty_margin:4%|accommodation:hostel|city_tier:tier2|lifestyle:disciplined|city:Pune|savings_goal:20%_monthly|risk_level:low|scholarship_expected:partial,True
PLAN_013,USR_004,Post-BTech Higher Education Savings Plan,TMPL_MBA,2028-06-01,2030-04-01,22,508004.49,183192.74,729586.0,inflation:5%|hostel_increase:8%|uncertainty_margin:6%|accommodation:hostel|city_tier:tier2|status:future_savings_goal|target_savings_by_2028:400000|lifestyle:disciplined|city_plan:metro,False
PLAN_007,USR_005,MBA Trimester Journey — Hyderabad,TMPL_MBA,2025-06-01,2027-02-01,20,568419.08,374742.85,1010532.1,inflation:6%|hostel_increase:9%|uncertainty_margin:6%|accommodation:pg|city_tier:metro|networking_conferences:3|city:Hyderabad|business_attire:included|lifestyle:moderate,True
PLAN_015,USR_005,MBA Summer Internship Relocation Budget,TMPL_MBA,2026-04-01,2026-07-01,3,13742.31,55722.38,74453.02,inflation:6%|hostel_increase:9%|uncertainty_margin:8%|accommodation:pg|city_tier:metro|relocation_city:Mumbai|security_deposit:20000|pg_setup:15000|commute_cost:3000/month|business_attire:8000,True
PLAN_008,USR_006,MBBS Full Journey — Chennai High Spend,TMPL_MED,2023-08-01,2029-02-01,66,854957.34,1933155.39,3043460.28,inflation:9%|hostel_increase:11%|uncertainty_margin:10%|accommodation:hostel|city_tier:metro|neet_pg_coaching:included|clinical_rotation_costs:25000|lifestyle:high_spend|city:Chennai|risk_level:high|equipment_costs:included,True
PLAN_017,USR_006,Hypothetical B.Arch Exploratory Plan — Chennai,TMPL_ARCH,2024-07-01,2029-07-01,60,741071.56,1613991.54,2607729.09,inflation:9%|hostel_increase:11%|uncertainty_margin:9%|accommodation:hostel|city_tier:metro|status:abandoned|reason:chose_MBBS|model_making_budget:40000|thesis_printing:20000|risk_level:high,False
PLAN_009,USR_006,NEET-PG Preparation Financial Plan,TMPL_MED,2028-08-01,2029-08-01,12,114369.7,264544.14,406904.74,inflation:9%|hostel_increase:11%|uncertainty_margin:8%|accommodation:hostel|city_tier:metro|neet_pg_coaching:18000|test_series:8000|focus:clinical_exam_prep|status:future_plan,False
PLAN_010,USR_007,BTech Conservative Financial Plan — Nagpur,TMPL_BTECH,2024-07-01,2028-07-01,48,279993.18,402579.1,703717.82,inflation:4%|hostel_increase:6%|uncertainty_margin:3%|accommodation:hostel|city_tier:tier2|lifestyle:disciplined|city:Nagpur|savings_target:15000/month|risk_level:low|family_support:full,True
PLAN_011,USR_008,B.Des Full Journey — Bangalore Design School,TMPL_DES,2024-07-01,2028-07-01,48,533660.92,980479.97,1637585.5,inflation:7%|hostel_increase:10%|uncertainty_margin:8%|accommodation:pg|city_tier:metro|adobe_cc_recurring:annual|portfolio_production:included|exhibition_costs:included|city:Bangalore|lifestyle:moderate,True
PLAN_012,USR_008,Final Year Portfolio & Exhibition Budget,TMPL_DES,2027-07-01,2028-07-01,12,141946.98,213164.08,386445.47,inflation:7%|hostel_increase:10%|uncertainty_margin:10%|accommodation:pg|city_tier:metro|large_format_printing:15000|exhibition_setup:8000|portfolio_production:12000|focus:graduation_milestone,True
